step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
363,0.0,1.52,21.880000000000003,4.620000000000001,0,45.82,9.76,4.220000000000001,
364,0.0,0,19.880000000000003,6.620000000000001,0,20.82,11.76,0,
365,0.0,0,41.88,1.620000000000001,0,3.8200000000000003,9.76,0,
366,0.0,0,0,0,11.68,9.82,0,0,
367,0.0,2.52,21.880000000000003,1.620000000000001,0,22.82,24.759999999999998,0,
368,0.0,0,17.880000000000003,11.620000000000001,0,0,7.76,0,
369,0.0,0,0,0,0,0,24.759999999999998,0,
370,0.0,2.52,17.880000000000003,1.620000000000001,10.68,2.8200000000000003,4.76,0,
371,0.0,2.52,21.880000000000003,0,3.6799999999999997,4.82,5.76,0,
372,0.0,0,61.88,0,0,23.82,0,0,
373,0.0,0,23.880000000000003,0.620000000000001,2.6799999999999997,52.82,19.759999999999998,0,
374,0.0,0,22.880000000000003,0,0,31.82,10.76,0,
375,0.0,0,19.880000000000003,0,0,30.82,4.76,0,
376,0.0,3.52,0,0,0,0,0,0,
377,0.0,6.52,21.880000000000003,0,0,26.82,8.76,0,
378,0.0,0,18.880000000000003,0,0,25.82,7.76,0,
379,0.0,0,21.880000000000003,0,9.68,29.82,14.76,0,
380,0.0,0,73.88,0,8.68,0,0,0,
381,0.0,0,57.88,0,0,10.82,0,0,
382,0.0,0,20.880000000000003,0,0,26.82,0,0,
383,0.0,4.52,13.88,0.620000000000001,0,43.82,1.7599999999999998,0,
384,0.0,0,44.88,0,0,27.82,18.759999999999998,0,
385,0.0,0,0,0,14.68,29.82,0,0,
386,0.0,0,21.880000000000003,3.620000000000001,0,37.82,3.76,8.22,
387,0.0,0,21.880000000000003,0.620000000000001,0,21.82,4.76,0,
388,0.0,0,16.880000000000003,0,0,27.82,1.7599999999999998,0,
389,0.0,0,19.880000000000003,2.620000000000001,0,26.82,4.76,0,
390,0.0,0,17.880000000000003,2.620000000000001,3.6799999999999997,39.82,0,11.22,
391,0.0,0,101.88,16.62,0,0,0,0,
392,0.0,0,34.88,15.620000000000001,0,19.82,0,0,
393,0.0,0,17.880000000000003,0,0,33.82,1.7599999999999998,0,
394,0.0,0,21.880000000000003,0,0,28.82,3.76,0,
395,0.0,0,57.88,0.620000000000001,0,38.82,0,0,
396,0.0,0,0,0,0,42.82,0.7599999999999998,0,
397,0.0,0,21.880000000000003,0,9.68,22.82,9.76,0,
398,0.0,0,12.88,0,3.6799999999999997,28.82,0,4.220000000000001,
399,0.0,0,21.880000000000003,0,0,32.82,0.7599999999999998,0,
400,0.0,0,24.880000000000003,0,0,0,0,0,
401,0.0,0,15.88,0,0.6799999999999999,21.82,0,0,
402,0.0,0,0,2.620000000000001,0,39.82,0,0,
403,0.0,0,21.880000000000003,0,6.68,51.82,1.7599999999999998,0,
404,0.0,0,21.880000000000003,0,6.68,20.82,12.76,3.22,
